1,SIMULACAO DE ENTREGA
2,TRANSFOLHA OCORRENCIAS
3,TRANSFOLHA TRANSP E DISTRIBUIC
5,MEIO & MENSAGEM
8,VALOR ECONOMICO
17,PANROTAS EDITORA LTDA
20,READERS DIGEST
49,READERS DIGESTBRASIL LTDA SAO
50,FREE SHOP
99,FREE SHOP BRAZIL PROMOTION
104,FOLHA PROMOCAO LIVROS
109,FOLHA BRINDES
121,FOLHA CRM/ MKT
128,AGORA SP
136,MITSUBISHI
137,PHOTOS7&IMAGENS
139,TRIP/AMBEV-AEREO
162,KIPANY - TERRESTRE
178,FNP - ANUARIO
183,SONOPRESS
203,VALOR ECONOMICO - ACAO ESPECIA
233,BRAZIL PROMOTION ROAD CURITIBA
251,EDITORA ABRIL
261,UOL - MODEM
264,M&M - CAMPANHA INESQUECIVEIS
265,B2W - ACOM (AMERICANAS)
269,UOL - CRM (10050)
272,UOL - VENDAS ATIVO (10049)
274,UOL - PRODUTOS
280,SIMULADO ORC - AEREO
290,B2W - SUBA (SUBMARINO)
297,GLOBAL MESSENGER
302,CULTURA INGLESA
317,PESQUISA VALOR
323,WLL
329,FOLHA PRODUTOS
367,GIRAFA
368,FOLHA RH
372,B2W
378,UNIP INTERATIVA-CERED
386,LIVRARIA DA FOLHA
396,PONTO FRIO
397,LIVRARIA SARAIVA
400,PONTO FRIO LOGISTICA REVERSA E
419,WALMART
428,B2W - REVERSA - ACOM (AMERICAN
429,B2W - REVERSA - SUBA  (SUBMARI
430,B2W - REVERSA - SHOP  (SHOP TI
443,TESTE INCLUSAO
451,PASSARELA CALCADOS
452,WLC
454,RICARDO ELETRO
466,REFERENCIA EXPRESSA
483,TRANSFOLHA
489,DAFITI
491,PASSARELA CALCADOS - LOG REVER
493,UOL- PARCEIRIAS COMERCIAIS
497,EDITORA ABRIL REVISTA RECREIO
499,EDITORA ABRIL LOGISTICA REVERS
500,DESCARTE CERTO LOGISTICA REVER
501,TESTE - DAFITI REVERSA
508,DAFITI LOGISTICA REVERSA
511,BELEZA NA WEB
515,ELSEVIER
517,KANUI
518,DECATHLON
519,WEBTRACK
521,UOL MOBILE
526,MARISA
528,B2W - CAPITAL
532,COOP
537,NETP
539,HERING
540,RENNER
541,NETSHOES
542,POSTHAUS
543,TRICAE
545,CENTAURO
546,COOP LOGISTICA REVERSA
547,WESTWING EXPRESSA
548,DAFITI REVISTA EXPRESSA
549,MOBLY COMERCIO
551,COBASI
557,MEIO & MENSAGEM - REVISTA PROX
558,NOVA CONCURSOS
559,SANDRO MOSCOLONI CANAL EXPRESS
560,JOCAR
561,SIMULACAO DE ENTREGA B2B
562,LIVRARIA CULTURA
563,GLOBAL PAYMENTS
564,RI HAPPY
565,GLOBAL PAYMENTS PINT PAD
566,MAGAZINE LUIZA
567,SELECOES NAO LIVROS
568,E-HUB
569,KANUI
570,B2W - REVERSA (ACOM - SUB - SH
571,EDITORA SARAIVA
574,CULTURA INGLESA RIO DE JANEIRO
578,FNAC
579,CAFE FACIL
581,SATELITAL BRASIL
582,AGV OUTROS
583,DECATHLON LOJA RAPOSO
584,DECATHLON  LAR CENTER
585,DECATHLON LOJA MORUMBI
587,AGV BANCOS
588,MOBLY COMERCIO - REVERSA
589,CULTURA INGLESA BOTAFOGO
590,NOVA CONTA UOL
591,IKESAKI
592,RI HAPPY REVERSA
593,C&A
594,MARISA LOG REVERSA
595,BRIGHISTAR
596,C&A  LOGISITCA REVERSA
